Epic,Story,Story # in GitHub,Description,Relevant References,Team Assigned,Status,Notes
,Mojaloop connector for DFSP - POST /quotes send ,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - POST /quotes receive,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - PUT /fxQuotes,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - PUT /quotes,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - POST /transfers send ,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - POST /transfers receive,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - PUT /fxTransfers- Payer Conversion route,Not yet created,,,INFITX,Not yet started,
,Mojaloop connector for DFSP - PUT /fxTransfers- Payee Conversion route,Not yet created,,,INFITX,Not yet started,
use cases ,Sending DFSP (debtor party) - send amount type,,golden path and error / unhappy path; define requirements to use as testing,,,,
,Sending DFSP  (debtor party)  - receive amount type,,golden path and error / unhappy path; define requirements to use as testing,,,,
,Receiving DFSP (creditor party) - send amount type,,golden path and error / unhappy path; define requirements to use as testing,,,,
,Receiving DFSP  (creditor party)  - receive amount type,,golden path and error / unhappy path; define requirements to use as testing,,,,
,Reference currency,,golden path and error / unhappy path; define requirements to use as testing,,,,
,Bulk CC purchase,,golden path and error / unhappy path; define requirements to use as testing,,,,
Other,run existing POV to familiarize self with it ,,run end to end test which is not golden path,,Thitsaworks,,priority 3
